words,em,light,sound,properties
semicircular,0.0,2.548702204856266,0.0,0.0
perpendicular,0.0,0.0,0.0,3.7100591715976337
boundary,0.0,0.9902316494557633,0.0,0.0
round,0.0,0.12429063168666848,0.0,0.4568047337278106
need,0.0,0.0,0.6949107380762056,0.0
laterally,0.0,2.6089868825006977,0.0,0.0
sharp,0.0,0.0,0.7684519051425523,0.0
quickly,0.0,0.0,0.0,0.9822485207100592
virtual,0.0,0.9612056935528884,0.0,0.0
inside,0.0,1.1777839799051075,0.0,0.0
could,0.0,0.0,0.0,0.0
sixth,0.0,0.0,0.648014921396216,0.0
sun,0.0,2.0708903153781746,0.0,0.0
semi,0.0,0.5894501814122244,0.0,0.0
good,0.0,0.0,0.0532907007727148,0.0
dip,0.0,0.0,0.0,1.7292899408284024
combination,0.0,0.0,1.6498800959232611,0.0
spectator,0.0,0.0,1.318411937116973,0.0
pressure,0.0,0.0,0.8558486544098052,0.0
come,0.0,0.0,0.0,0.1789940828402364
stick,0.0,0.0,0.0,0.7263313609467456
draw,0.0,0.9062902861395743,0.0,0.434065934065934
far,0.0,0.0,0.5260857980282438,0.10246548323471401
liquid,0.0,0.0,1.2672528643751664,0.0
pool,0.0,0.0,0.0,1.6316568047337277
spread,0.0,0.0,0.0,1.2041420118343196
flash,0.0,0.0,1.1894484412470023,0.0
siren,0.0,0.0,0.7226219024780172,0.0
take,0.0,0.0,0.0,0.0
adjust,0.0,0.0,1.6829203304023443,0.0
great,0.0,0.244413433807796,0.0,0.0
hertz,0.0,0.0,0.1826094679811704,0.930473372781065
later,0.0,0.0,0.0,0.0
see,0.0,0.0,0.0,0.0
stand,0.0,0.0,0.3301358912869704,0.0
film,0.0,1.2280212112754676,0.0,0.0
information,0.0,0.0,2.0122568611777245,0.0
glass,0.0,2.075268753352612,0.016894285989647997,0.0
plane,0.0,0.9588931860771099,0.0,0.14634404057480982
measure,0.0,0.0,0.683491302196338,0.45224006762468294
