words,density,energy,forces,mass and weight,moments,momentum,motion
obey,0.0,0.0,1.477415822611552,0.0,0.0,0.0,0.0
waste,0.0,2.7432694976408545,0.0,0.0,0.0,0.0,0.0
ascend,0.0,0.0,0.0,0.0,0.0,0.0,1.9673704414587327
nail,0.0,0.0,0.0,0.0,0.5189363416599516,0.0,0.0
name,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beam,0.0,0.0,0.0,0.0,5.522159548751007,0.0,0.0
strength,0.0,0.0,0.0,3.763694022679224,0.0,0.0,0.0
bridge,0.0,0.0,0.0,0.0,0.0,0.0,3.0844529750479843
average,0.0,0.0,0.0,0.21326823282425822,0.009376915501008946,0.0,0.7175549977853238
halve,0.0,1.523175131834582,0.0,0.0,0.0,0.0,0.0
gravity,0.0,0.0,0.0,4.514919277339995,0.0,0.0,0.4892034548944337
river,0.0,0.0,0.0,0.0,0.0,0.0,3.1689059500959686
transfer,0.0,2.593671940049958,0.0,0.0,0.0,0.0,0.0
wave,0.0,2.378018318068276,0.0,0.0,0.0,0.0,0.0
rice,0.0,0.0,0.0,1.1986474149529118,0.42574872414719295,0.0,0.0
diving,0.0,1.76797113516514,0.0,0.0,0.0,0.0,0.0
describe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hover,0.0,2.8734388009991667,0.0,0.0,0.0,0.0,0.0
number,0.0,1.4027199555925614,0.0,0.0,0.0,0.0,0.0
pour,0.0,0.0,0.0,0.8374975975398808,0.0,0.0,0.0
gravitational,0.0,2.378903382983316,0.0,0.7797808956371323,0.0,0.0,0.0
derive,0.0,3.242575631418262,0.0,0.0,0.0,0.0,0.0
top,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gain,0.0,3.4932001110185946,0.0,0.0,0.0,0.0,0.0
surface,0.0,1.3526922009436577,0.0,0.8786437311807289,0.04562106425523022,0.0,0.0
lorry,0.0,1.7563141826255892,0.0,0.0,0.0,0.0,0.0
lamina,0.0,0.0,0.0,0.0,1.6451786193929625,0.0,0.0
complete,0.0,1.6183735775742436,0.0,0.0,0.0,0.0,0.0
astronaut,0.0,0.0,0.0,4.120891793196233,0.0,0.0,0.0
straight,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boiler,0.0,2.9802941992783785,0.0,0.0,0.0,0.0,0.0
